country,lmic
Aruba,hic
Andorra,hic
United Arab Emirates,hic
Antigua and Barbuda,hic
Australia,hic
Austria,hic
Belgium,hic
Bahrain,hic
"Bahamas, The",hic
Bermuda,hic
Barbados,hic
Brunei Darussalam,hic
Canada,hic
Switzerland,hic
Channel Islands,hic
Chile,hic
Curacao,hic
Cayman Islands,hic
Cyprus,hic
Czech Republic,hic
Germany,hic
Denmark,hic
Spain,hic
Estonia,hic
Finland,hic
France,hic
Faroe Islands,hic
United Kingdom,hic
Gibraltar,hic
Greece,hic
Greenland,hic
Guam,hic
"Hong Kong SAR, China",hic
Hungary,hic
Isle of Man,hic
Ireland,hic
Iceland,hic
Israel,hic
Italy,hic
Japan,hic
St. Kitts and Nevis,hic
"Korea, Rep.",hic
Kuwait,hic
Liechtenstein,hic
Lithuania,hic
Luxembourg,hic
Latvia,hic
"Macao SAR, China",hic
St. Martin (French part),hic
Monaco,hic
Malta,hic
Northern Mariana Islands,hic
New Caledonia,hic
Netherlands,hic
Norway,hic
New Zealand,hic
Oman,hic
Palau,hic
Poland,hic
Puerto Rico,hic
Portugal,hic
French Polynesia,hic
Qatar,hic
Saudi Arabia,hic
Singapore,hic
San Marino,hic
Slovak Republic,hic
Slovenia,hic
Sweden,hic
Sint Maarten (Dutch part),hic
Seychelles,hic
Turks and Caicos Islands,hic
Trinidad and Tobago,hic
"Taiwan, China",hic
Uruguay,hic
United States,hic
British Virgin Islands,hic
Virgin Islands (U.S.),hic
Afghanistan,lmic
Angola,lmic
Albania,lmic
Armenia,lmic
American Samoa,lmic
Azerbaijan,lmic
Burundi,lmic
Benin,lmic
Burkina Faso,lmic
Bangladesh,lmic
Bulgaria,lmic
Bosnia and Herzegovina,lmic
Belarus,lmic
Belize,lmic
Bolivia,lmic
Brazil,lmic
Bhutan,lmic
Botswana,lmic
Central African Republic,lmic
China,lmic
Cote d'Ivoire,lmic
Cameroon,lmic
"Congo, Dem. Rep.",lmic
"Congo, Rep.",lmic
Colombia,lmic
Comoros,lmic
Cabo Verde,lmic
Costa Rica,lmic
Cuba,lmic
Djibouti,lmic
Dominica,lmic
Dominican Republic,lmic
Algeria,lmic
Ecuador,lmic
"Egypt, Arab Rep.",lmic
Eritrea,lmic
Ethiopia,lmic
Fiji,lmic
"Micronesia, Fed. Sts.",lmic
Gabon,lmic
Georgia,lmic
Ghana,lmic
Guinea,lmic
"Gambia, The",lmic
Guinea-Bissau,lmic
Equatorial Guinea,lmic
Grenada,lmic
Guatemala,lmic
Guyana,lmic
Honduras,lmic
Haiti,lmic
Indonesia,lmic
India,lmic
"Iran, Islamic Rep.",lmic
Iraq,lmic
Jamaica,lmic
Jordan,lmic
Kazakhstan,lmic
Kenya,lmic
Kyrgyz Republic,lmic
Cambodia,lmic
Kiribati,lmic
Lao PDR,lmic
Lebanon,lmic
Liberia,lmic
Libya,lmic
St. Lucia,lmic
Sri Lanka,lmic
Lesotho,lmic
Morocco,lmic
Moldova,lmic
Madagascar,lmic
Maldives,lmic
Mexico,lmic
Marshall Islands,lmic
"Macedonia, FYR",lmic
Mali,lmic
Myanmar,lmic
Montenegro,lmic
Mongolia,lmic
Mozambique,lmic
Mauritania,lmic
Mauritius,lmic
Malawi,lmic
Malaysia,lmic
Namibia,lmic
Niger,lmic
Nigeria,lmic
Nicaragua,lmic
Nepal,lmic
Nauru,lmic
Pakistan,lmic
Peru,lmic
Philippines,lmic
Papua New Guinea,lmic
"Korea, Dem. People's Rep.",lmic
Paraguay,lmic
West Bank and Gaza,lmic
Romania,lmic
Russian Federation,lmic
Rwanda,lmic
Sudan,lmic
Senegal,lmic
Solomon Islands,lmic
Sierra Leone,lmic
El Salvador,lmic
Somalia,lmic
Serbia,lmic
South Sudan,lmic
Sao Tome and Principe,lmic
Suriname,lmic
Swaziland,lmic
Syrian Arab Republic,lmic
Chad,lmic
Togo,lmic
Thailand,lmic
Tajikistan,lmic
Turkmenistan,lmic
Timor-Leste,lmic
Tonga,lmic
Tunisia,lmic
Turkey,lmic
Tuvalu,lmic
Tanzania,lmic
Uganda,lmic
Ukraine,lmic
Uzbekistan,lmic
St. Vincent and the Grenadines,lmic
"Venezuela, RB",lmic
Vietnam,lmic
Vanuatu,lmic
Samoa,lmic
Kosovo,lmic
"Yemen, Rep.",lmic
South Africa,lmic
Zambia,lmic
Zimbabwe,lmic
Argentina,hic
Croatia,hic
Panama,hic
